l,m,C,S
0,0,1.0,0.0
1,0,0.0,0.0
1,1,0.0,0.0
2,0,-0.0010826354045176732,0.0
2,1,-3.4273204425764963e-10,1.904724578441275e-09
2,2,1.5746151931990266e-06,-9.038727448900639e-07
3,0,2.5324100628321035e-06,0.0
3,1,2.193149335574837e-06,2.680870068944021e-07
3,2,3.0904385861444515e-07,-2.1143058450238983e-07
3,3,1.0058350875225648e-07,1.9722155788863846e-07
4,0,1.6198972997940002e-06,0.0
4,1,-5.086434965581277e-07,-4.492653315271349e-07
4,2,7.837453255938255e-08,1.4813500801997918e-07
4,3,5.92150062395651e-08,-1.2009457277215537e-08
4,4,-3.983204132359772e-09,6.524671329580347e-09
5,0,2.2775359264795116e-07,0.0
5,1,-5.3882472707224876e-08,-8.081342937213636e-08
5,2,1.055288414597268e-07,-5.2329764176279015e-08
5,3,-1.492648549117794e-08,-7.100916108289833e-09
5,4,-2.299510837335021e-09,3.878115449968334e-10
5,5,4.304279359114319e-10,-1.6481716032694467e-09
6,0,-5.4066637013524e-07,0.0
6,1,-5.97343018271319e-08,2.085973218101483e-08
6,2,6.052083597137984e-09,-4.6500627997311095e-08
6,3,1.186915594458676e-09,1.8560976349524492e-10
6,4,-3.256407263260843e-10,-1.784568076604391e-09
6,5,-2.156207570572142e-10,-4.3298499904633776e-10
6,6,2.2064773349373526e-12,-5.530526348900743e-11
7,0,3.5055169980952706e-07,0.0
7,1,2.0558856926131303e-07,6.96250303773503e-08
7,2,3.290941373553277e-08,9.262713003178297e-09
7,3,3.5279321083107127e-09,-3.058306584041215e-09
7,4,-5.83957702519358e-10,-2.6344160079271584e-10
7,5,5.831614114317271e-13,6.345169898525324e-12
7,6,-2.4904101091307286e-11,1.0536274992949242e-11
7,7,2.7963986879177146e-14,4.47195812900915e-13
8,0,2.0399304883366445e-07,0.0
8,1,1.5915730492218368e-08,4.047338646773849e-08
8,2,6.57191528182168e-09,5.361762443827856e-09
8,3,-1.9587715519927103e-10,-8.690973155127202e-10
8,4,-3.1893887085807205e-10,9.111230861031548e-11
8,5,-4.65186945161504e-12,1.614568875908367e-11
8,6,-1.8423100054879072e-12,8.62846818507489e-12
8,7,3.429468189764343e-13,3.817587912602007e-13
8,8,-1.5809963004925933e-13,1.5367506651290045e-13
9,0,1.2212790808444734e-07,0.0
9,1,9.236797581085924e-08,1.390572390267082e-08
9,2,1.4833229339249764e-09,-2.195667642049503e-09
9,3,-1.2138592502776965e-09,-5.612789108620935e-10
9,4,-8.014268807130627e-12,1.7031525153786912e-11
9,5,-1.6685435381851605e-12,-5.5271880983718635e-12
9,6,8.290748064012543e-13,2.9440758489545977e-12
9,7,-2.2486379906755506e-13,-1.8472270358939773e-13
9,8,6.149357064030885e-14,-9.823359424285618e-16
9,9,-3.663817681289174e-15,7.463752313680975e-15
10,0,2.443906417880114e-07,0.0
10,1,5.175791303978916e-08,-8.100379827399972e-08
10,2,-5.588502505707107e-09,-3.048731377739558e-09
10,3,-4.0854303015310127e-11,-8.986999325018578e-10
10,4,-4.975044460878346e-11,-4.654296346039119e-11
10,5,-3.059981370716672e-12,-3.142198599045369e-12
10,6,-2.608757290564214e-13,-5.536733587505594e-13
10,7,6.954346486887173e-15,-2.5664116325296114e-15
10,8,4.650238837080522e-15,-1.0505189542033621e-14
10,9,2.329666312537506e-15,-7.05043985014509e-16
10,10,4.1730284588027823e-16,-9.913476782150712e-17
11,0,-2.4347646469684166e-07,0.0
11,1,9.216619995771597e-09,-1.6011720142404408e-08
11,2,1.0413775858117809e-09,-5.125744751668615e-09
11,3,-1.4103753119256583e-10,-6.865004870742758e-10
11,4,-1.597919244011355e-11,-2.6849738350910153e-11
11,5,1.4887786340354989e-12,1.9730426036937416e-12
11,6,-6.162408448915161e-15,1.3501863372636535e-13
11,7,1.9328491183211975e-15,-3.7300281514496675e-14
11,8,-3.0017073100945094e-16,1.169133456070103e-15
11,9,-1.9107848355572843e-16,2.586939369163707e-16
11,10,-4.957324969861335e-17,-1.74797380498847e-17
11,11,9.353136146152282e-18,-1.4094455683062634e-17
12,0,1.8218085717929998e-07,0.0
12,1,-3.0336871131124946e-08,-2.4437697757258145e-08
12,2,6.50852224654639e-10,1.418517776953316e-09
12,3,1.4758536208964128e-10,9.335481465503158e-11
12,4,-2.102356926188989e-11,1.1914262688642383e-12
12,5,8.218801534549174e-13,2.0204371355835224e-13
12,6,7.432050922953151e-15,9.243244901304503e-14
12,7,-4.231207821952968e-15,7.93456292999349e-15
12,8,-5.7491629780482e-16,3.761364690090627e-16
12,9,1.0156763333849908e-16,6.048916266528491e-17
12,10,-1.849170031106817e-18,9.228573011109773e-18
12,11,4.99791024138384e-19,-2.8082560241681553e-19
12,12,-2.1757938362774155e-20,-9.963893082216932e-20
13,0,2.1683168413977675e-07,0.0
13,1,-2.8020741089529063e-08,2.1075185041837678e-08
13,2,2.24565420883412e-09,-2.5453825006258557e-09
13,3,-6.597165305625804e-11,2.9895348621808353e-10
13,4,-8.570160273456762e-13,-2.758218622810119e-12
13,5,1.0764101232067517e-12,1.239691822189062e-12
13,6,-5.241855648774452e-14,-9.38381143669125e-15
13,7,3.810316798630513e-16,-9.254492284113103e-16
13,8,-1.1321938435524732e-16,-1.1101924835820374e-16
13,9,2.659804713226446e-17,4.927355930995815e-17
13,10,4.6020512172639556e-18,-4.124289996525419e-18
13,11,-5.873901831301607e-19,-6.387552853281489e-20
13,12,-5.842508377284869e-20,1.640773565273208e-19
13,13,-2.239451782142605e-20,2.4937557807829983e-20
14,0,-1.2207145356006206e-07,0.0
14,1,-9.865654447200513e-09,1.5167132150117507e-08
14,2,-1.308858412333466e-09,-1.47699104346653e-10
14,3,9.315738068901301e-11,5.024530529807821e-11
14,4,2.904314593402993e-13,-4.108968450705377e-12
14,5,3.8552525553237196e-13,-2.2084303450841754e-13
14,6,-1.8694078464669058e-14,2.4085063419891274e-15
14,7,2.8463504113888106e-15,-2.9754470728704226e-16
14,8,-2.129812477150995e-16,-9.415784406537052e-17
14,9,1.6578762472884993e-17,1.4769183128783284e-17
14,10,1.8378390400027014e-18,-6.126888768193412e-20
14,11,7.411618207906252e-20,-1.849184942718906e-19
14,12,4.538905099176129e-21,-1.6690688802238124e-20
14,13,2.3532419117067788e-21,3.2949900116869025e-21
14,14,-7.153489492867757e-22,-6.642712018239037e-23
15,0,1.2205425359097701e-08,0.0
15,1,4.792645321220274e-09,5.328304342345502e-09
15,2,-6.763892844386109e-10,-9.98285072185634e-10
15,3,1.1504486456315374e-10,3.804243850861253e-11
15,4,-5.729957961079705e-12,9.718335933865662e-13
15,5,1.177289608987862e-13,7.328455399110072e-14
15,6,2.1800682269141645e-14,-2.4200832477987794e-14
15,7,2.813278795666634e-15,2.392862089673745e-16
15,8,-1.1155768499569773e-16,7.708798835995919e-17
15,9,3.56747096503577e-18,1.0190492968357649e-17
15,10,2.2478956728423536e-19,3.2173923575842954e-19
15,11,-2.5059987660419594e-21,3.557602244700674e-20
15,12,-5.991310270072908e-21,2.8848846109870077e-21
15,13,-5.720364582388367e-22,-9.227450674067493e-23
15,14,1.3766313383510853e-23,-6.459930994428295e-23
15,15,-9.207295385503212e-24,-2.272009488594454e-24
16,0,-2.705903278708425e-08,0.0
16,1,1.2898637462907503e-08,1.6424178305328374e-08
16,2,-7.348187821510903e-10,8.403329229044694e-10
16,3,-6.233801565840786e-11,-3.9224835468612293e-11
16,4,4.657068327400684e-12,5.4702626708011566e-12
16,5,-8.703894031461833e-14,-2.4722634449435998e-14
16,6,6.404635011127583e-15,-1.6431682905694764e-14
16,7,-2.4538214014420236e-16,-2.6333681964364317e-16
16,8,-4.391424143898326e-17,1.1198231155331139e-17
16,9,-3.2825145390358504e-18,-5.809135516627404e-18
16,10,-1.2815874348460758e-19,1.2523848857922695e-19
16,11,1.6299475228334792e-20,-2.7295694827477825e-21
16,12,1.4100882205355005e-21,4.847584188026995e-22
16,13,9.21828506111072e-23,7.009900816274478e-24
16,14,-1.3646750503450195e-23,-2.726662205683975e-23
16,15,-1.2918509224943272e-24,-2.9364121596148586e-24
16,16,-6.065637552512626e-25,4.685803755286258e-26
17,0,1.1351527137187224e-07,0.0
17,1,-1.2131502977074267e-08,-1.5163707370242874e-08
17,2,-5.514230494365369e-10,1.8691236447919103e-10
17,3,9.99101270444977e-12,8.050412885467112e-12
17,4,5.98090590437405e-13,2.3401611554204486e-12
17,5,-8.858672904223895e-14,4.385818035250439e-14
17,6,-3.857026754428684e-15,-9.67874445624617e-15
17,7,5.053685304821813e-16,-8.873607133976369e-17
17,8,4.990904831903079e-17,4.650934738761042e-18
17,9,2.9104188974822364e-19,-2.312489423564309e-18
17,10,-2.1606601285427332e-20,1.0460839463546723e-19
17,11,-6.5123744121420765e-21,4.507758923758176e-21
17,12,8.852938718304278e-22,6.305765854893138e-22
17,13,4.154074774718123e-23,5.0674548034675154e-23
17,14,-3.2261371377984166e-24,2.6158033948736354e-24
17,15,1.2773707229605498e-25,1.2094542327068482e-25
17,16,-8.631150300474748e-26,1.022915461125169e-26
17,17,-1.689504367216541e-26,-9.67738353600959e-27
18,0,3.7096500894256196e-08,0.0
18,1,3.3498616899606995e-09,-1.8279399561277842e-08
18,2,3.71468947355399e-10,2.732923199335629e-10
18,3,-6.942539007781777e-12,-8.049934742921867e-12
18,4,4.138382187533029e-12,-5.960358779057012e-14
18,5,2.5232266143271386e-14,1.103600050554155e-13
18,6,3.2452884930251098e-15,-3.1657047986954608e-15
18,7,9.374798490388015e-17,1.030551109176893e-16
18,8,2.488724755452602e-17,3.545004418121571e-18
18,9,-9.71828242678428e-19,1.794244897616546e-18
18,10,1.6314871154181072e-20,-1.3266047080773853e-20
18,11,-1.414341973332431e-21,4.35257251590412e-22
18,12,-4.216226879034584e-22,-2.3471277866985187e-22
18,13,-6.498865021044912e-24,-3.6308465977915585e-23
18,14,-6.814758644830723e-25,-1.0543044120164526e-24
18,15,-2.893815151151974e-25,-1.450208168903789e-25
18,16,7.197293012280016e-27,4.605150929220812e-27
18,17,2.947695712026952e-28,3.703541059265916e-28
18,18,4.218131401433411e-29,-1.5315686715882576e-28
19,0,-2.062806576501016e-08,0.0
19,1,-4.064659004925154e-09,5.407341564018796e-10
19,2,8.328170240180395e-10,-5.5231514007061584e-11
19,3,-9.109907349270412e-12,1.3289548498541326e-12
19,4,9.929816863737114e-13,-5.114728295179827e-13
19,5,3.439289663849174e-14,9.087598457894206e-14
19,6,-8.493238525399768e-16,3.3190459806525174e-15
19,7,5.429852508830575e-17,-8.414194843717833e-17
19,8,1.5982564490697404e-17,-5.343095472043602e-18
19,9,1.0018533154304434e-19,2.2053046427253153e-19
19,10,-6.061555321580077e-20,-1.3560436773216193e-20
19,11,1.7753628713580886e-21,1.1277432147093424e-21
19,12,-1.686964948660858e-23,6.538370384967178e-23
19,13,-3.483953614898255e-24,-1.3177531462533085e-23
19,14,-1.5574360166159675e-25,-4.219043457809688e-25
19,15,-4.4292366148227555e-26,-3.543341948756565e-26
19,16,-4.6277301381294745e-27,-1.5105082118772685e-27
19,17,5.898668636784941e-28,-3.141916835906311e-28
19,18,8.334076659001428e-29,-2.3066995827075455e-29
19,19,-1.0443060891077871e-30,2.007160887027674e-30
20,0,1.3804577191204157e-07,0.0
20,1,2.4601250032439177e-09,3.105836952543325e-09
20,2,4.385464378714854e-10,3.7139335418037113e-10
20,3,-5.046018525113636e-12,4.131829907551475e-11
20,4,2.2454069212934236e-13,-1.1897790387081244e-12
20,5,-2.6623158597123583e-14,-2.1717488719125638e-14
20,6,1.619227053014983e-15,-5.810160374503814e-16
20,7,-1.453549377159372e-16,-4.8299745405584174e-18
20,8,1.828784009166222e-18,7.730493582539252e-19
20,9,3.306860750365148e-19,-1.3492839159106905e-19
20,10,-3.420615746807649e-20,-5.073061494957823e-21
20,11,8.692464923665233e-22,-1.1520569569623306e-21
20,12,-2.2925441539349885e-23,6.428302709580609e-23
20,13,5.980351058539876e-24,1.4756130877081834e-24
20,14,1.629968817540992e-25,-2.033811516173412e-25
20,15,-2.516770727109744e-26,-8.441320064186418e-28
20,16,-9.036785455352977e-28,-2.4980377238176884e-29
20,17,2.692541124010086e-29,-8.210261321230233e-29
20,18,8.5992368281285e-30,-5.025412558708934e-31
20,19,-1.9213050717976059e-31,6.925260627843575e-31
20,20,3.744162277798877e-32,-1.2726653316396375e-31
21,0,4.098246166585065e-08,0.0
21,1,-6.971540763816004e-09,1.2379194789794357e-08
21,2,-1.129873460756699e-10,8.406530438293554e-11
21,3,1.8036217661521798e-11,2.1406207870005926e-11
21,4,-2.2691213735733317e-13,8.43078219110722e-13
21,5,5.505031285737504e-15,2.3175132127365994e-15
21,6,-1.3769812785207386e-15,1.3936500884275888e-18
21,7,-3.278032470668564e-17,1.2502338296196917e-17
21,8,-4.240694023227993e-18,5.288273354719578e-19
21,9,1.9760200943674824e-19,1.1313515823676473e-19
21,10,-7.365643701024227e-21,-7.368873576913313e-22
21,11,2.374277461189785e-22,-1.2252708674308136e-21
21,12,-6.3058251634936486e-24,2.8009936321913215e-23
21,13,-2.0985092278808227e-24,1.5105231176989116e-24
21,14,1.3124818037670553e-25,4.7628308104922846e-26
21,15,7.169618077322876e-27,4.230418157874329e-27
21,16,2.051676869138375e-28,-1.8218802798848746e-28
21,17,-1.483310969311668e-29,-1.465565216895579e-29
21,18,4.210160410734346e-30,-1.7610143501117373e-30
21,19,-3.949598822431567e-31,2.4036743485614084e-31
21,20,-4.321027162379899e-32,2.5523936586204983e-32
21,21,2.0927983126428944e-33,-9.038050192424272e-34
22,0,-7.229595929800627e-08,0.0
22,1,6.613324250133618e-09,-1.6197393770397538e-09
22,2,-4.976231616302095e-10,-2.1879082016649475e-11
22,3,9.530317510259155e-12,8.50329356259296e-12
22,4,-1.3664401595509213e-13,7.078824000646471e-13
22,5,1.6599082959600602e-16,-5.460983556120551e-16
22,6,7.988392892308859e-16,-4.3283813731990014e-16
22,7,6.371746121460052e-17,1.7320634026081947e-17
22,8,-4.041484569553816e-18,6.560535876078582e-19
22,9,5.51713081232521e-20,6.915454508189879e-20
22,10,2.2777626913798132e-21,9.04706276144935e-21
22,11,-9.794427892170102e-23,-3.572477947743772e-22
22,12,2.543622139101379e-24,-8.633260459972301e-24
22,13,-9.646758100920564e-25,1.0969948416012182e-24
22,14,3.3951652096005193e-26,2.60067663997572e-26
22,15,4.6775889732409805e-27,8.553049687090604e-28
22,16,1.255773801915258e-30,-8.113266928942361e-29
22,17,6.23370499956455e-30,-1.0623642490280041e-29
22,18,5.246494675761532e-31,-8.337844022009453e-31
22,19,5.647806095814943e-32,-1.3508927288843208e-32
22,20,-6.003499539478075e-33,7.009180068340118e-33
22,21,-9.771072121101679e-34,9.251233107120846e-34
22,22,-5.864776476615059e-35,1.3586855013399108e-35
23,0,-1.5260147184611666e-07,0.0
23,1,3.786023218340954e-09,6.683148538313919e-09
23,2,-2.532695339053376e-10,-8.069038292061049e-11
23,3,-1.8131016643004627e-11,-1.317494565891943e-11
23,4,-7.734691619519289e-13,2.6871944572640067e-13
23,5,-1.2408836395675327e-15,2.313505843531153e-16
23,6,-7.334702178054017e-16,9.91916337263961e-16
23,7,-1.8754225160288463e-17,-5.2117063563852734e-18
23,8,8.999434249075095e-19,2.2295586223968228e-20
23,9,1.0146596233473973e-20,-7.171070050413733e-20
23,10,4.377847777016364e-21,-5.892772535240011e-22
23,11,1.13999099181087e-22,1.7652069479435494e-22
23,12,9.922402891133127e-24,-7.236321071682403e-24
23,13,-3.5161939672403905e-25,-1.5761750335529569e-25
23,14,1.0952083360986471e-26,-2.3042234966161438e-27
23,15,1.6128037550184978e-27,-3.0570156173636295e-28
23,16,2.8472045824906175e-29,5.338241884899375e-29
23,17,-1.5735225968940815e-30,-3.7250291050350116e-30
23,18,1.5688386925243978e-31,-2.7208541238513393e-31
23,19,-6.93833758268638e-33,1.3503777089291433e-32
23,20,7.701281692800599e-34,-5.2696437574069235e-34
