l,m,C,S
1,0,0.0,0.0
1,1,0.0,0.0
2,0,-0.00020321417010232316,0.0
2,1,-9.431031588934658e-08,1.5443504641859817e-09
2,2,2.2381273767903727e-05,1.466500843674381e-08
3,0,-8.52470764764534e-06,0.0
3,1,2.846639882572721e-05,5.897726196743224e-06
3,2,4.842862765365573e-06,1.6707108066988729e-06
3,3,1.7128173600809264e-06,-2.454165008762221e-07
4,0,9.726116905800002e-06,0.0
4,1,-5.69625677298712e-06,1.5822386796463601e-06
4,2,-1.5911072036942732e-06,-1.5139883740409756e-06
4,3,-7.999386870704543e-08,-8.03983540885234e-07
4,4,-1.2704626073242457e-07,8.264326231437965e-08
5,0,-7.373352615349508e-07,0.0
5,1,-8.692035548771876e-07,-3.5284374029458003e-06
5,2,7.116504091959489e-07,1.6956367781766112e-07
5,3,1.517813935136096e-08,2.8740737201145623e-07
5,4,2.1432437136073854e-08,6.223421541975057e-10
5,5,7.674749441935235e-09,-6.769672069962272e-09
6,0,1.3757816572866938e-05,0.0
6,1,1.2125019709565545e-06,-2.042903442918385e-06
6,2,-5.461631259695089e-07,-2.6992865784992946e-07
6,3,-6.88271763136792e-08,-7.10949170593641e-08
6,4,1.2935695846879205e-09,-1.533843322027774e-08
6,5,1.190271492514726e-09,-8.351315693607743e-09
6,6,-1.0944311597928365e-09,1.6806695099560476e-09
7,0,2.1604787277213045e-05,0.0
7,1,5.4776440951059505e-06,-8.833860325132833e-08
7,2,-6.395058562494175e-08,2.3977246994540936e-07
7,3,8.413625839083544e-09,3.324582880517164e-08
7,4,-1.7915909274560697e-09,1.6078539167453533e-09
7,5,-7.378862750798274e-11,3.782591008144398e-10
7,6,-7.401929224749781e-11,7.638925211921447e-11
7,7,-3.371287452527431e-11,-2.9745549889021756e-11
8,0,9.67622459359706e-06,0.0
8,1,3.0161965523226277e-09,7.524116104152929e-07
8,2,2.4730527200289464e-07,1.5875108813018514e-07
8,3,-1.911150191047683e-08,9.668629777849824e-09
8,4,4.4485432009797224e-09,-6.869897021580126e-10
8,5,-2.2554894045156314e-10,5.282239521560653e-10
8,6,-4.625529077184248e-11,-5.914585848085202e-11
8,7,-7.735304626209175e-12,1.6631017759080527e-11
8,8,-3.177163710187531e-12,2.6927483019155625e-12
9,0,-1.541159414765706e-05,0.0
9,1,1.2049996755006813e-06,5.468252986167973e-08
9,2,1.3406950669359017e-07,-9.628066994773466e-08
9,3,-1.502521211696006e-08,1.6625150828425754e-08
9,4,-1.611734916276142e-09,-1.214236454063125e-09
9,5,-1.5921090609083193e-10,-3.6054420005804887e-10
9,6,-2.7973098070444378e-11,-3.976950459305807e-11
9,7,-7.463248081379751e-12,-2.2364182960900434e-13
9,8,-4.2810147168197354e-13,-7.220115255645333e-13
9,9,-7.294441254828413e-14,1.9134043662572419e-13
10,0,-4.911056068964044e-06,0.0
10,1,5.179234602146515e-07,-5.890322379751753e-07
10,2,2.1294223222299724e-08,-1.5939382651954434e-08
10,3,2.862619464766251e-09,3.882136816149882e-09
10,4,-2.1057613398526458e-09,9.2822350077382e-10
10,5,4.308181313262972e-11,-1.905860492570289e-11
10,6,-8.031147263787666e-13,-1.4538618775087278e-11
10,7,-3.359906088775838e-12,-7.804298061751289e-13
10,8,-4.085669485767305e-13,3.2510934312619524e-13
10,9,-8.840925531416575e-14,-1.1300092671675156e-15
10,10,3.9451051418587685e-15,-7.1310655482342e-15
11,0,-4.244946189032863e-06,0.0
11,1,-1.4132176942384864e-08,3.6512770860117034e-07
11,2,3.623730767673147e-08,-1.0188343619833076e-07
11,3,1.8978663637004505e-09,3.357415244212071e-09
11,4,-4.5847796586267776e-10,9.203269222253783e-10
11,5,1.7061147306505487e-12,1.0325129845259427e-10
11,6,2.076986186457098e-12,-5.3413124475639816e-12
11,7,-3.054595579250535e-14,-1.1805973872708642e-12
11,8,-9.959787019004981e-14,-1.874319125603741e-14
11,9,-1.434655812178439e-14,1.5092444627845197e-15
11,10,-4.440966506007184e-15,-1.7749307503246936e-16
11,11,-5.839751139386352e-16,-3.5542761647068845e-16
12,0,-1.00492466905e-05,0.0
12,1,-4.041756021904383e-07,9.307320341224095e-07
12,2,-5.0138777922171356e-09,6.93938400009728e-08
12,3,3.1944831615799525e-09,-1.5100009504869772e-08
12,4,2.531095534301944e-10,-1.1013419015189965e-10
12,5,-4.7165705002617604e-14,2.373360357207022e-11
12,6,2.5695868830347534e-12,1.307129756429531e-12
12,7,4.760800332042076e-13,-2.1261046005193475e-13
12,8,9.123273219250177e-15,-4.906469599369503e-14
12,9,-3.254282385429355e-15,2.6392562750558806e-15
12,10,-9.16327518976864e-16,-3.823595777114807e-16
